Date,Open,High,Low,Close,Adj Close,Volume
2023-10-11,22.105202,22.391182,21.679808,22.007420,22.007420,278925381
2023-10-12,22.007484,22.019926,21.068972,21.300268,21.300268,283320977
2023-10-13,21.299955,22.156654,21.132036,21.834917,21.834917,269268807
2023-10-14,21.834354,22.196814,21.821913,22.011719,22.011719,174004594
2023-10-15,22.010534,22.135815,21.711384,21.922028,21.922028,178940996
2023-10-16,21.922586,24.414469,21.922586,23.982958,23.982958,726713710
2023-10-17,23.981590,24.485266,23.644390,23.959318,23.959318,520830665
2023-10-18,23.959225,24.302999,23.424078,23.432138,23.432138,362606644
2023-10-19,23.433477,25.389076,23.256447,24.937920,24.937920,663249208
2023-10-20,24.937544,27.316170,24.774506,27.033674,27.033674,910991447
2023-10-21,27.034481,30.142448,26.712612,29.386229,29.386229,1160814433
2023-10-22,29.384228,29.966192,28.208645,29.036682,29.036682,665340924
2023-10-23,29.262220,32.468773,28.901739,31.850985,31.850985,1581590969
2023-10-24,31.849657,32.360317,29.702093,30.151537,30.151537,1450364573
2023-10-25,30.151220,33.693222,30.059874,32.463066,32.463066,1458706203
2023-10-26,32.461857,33.221340,30.797068,32.775494,32.775494,1015617285
2023-10-27,32.776436,33.302402,31.525139,31.739698,31.739698,870812666
2023-10-28,31.739922,32.477669,31.506313,31.653318,31.653318,380462073
2023-10-29,31.652102,33.131329,31.434202,32.822609,32.822609,507672244
2023-10-30,32.819035,35.172894,32.394566,34.962337,34.962337,1099930941
2023-10-31,34.959831,38.546432,34.908436,38.519516,38.519516,1577034191
2023-11-01,38.513058,46.250900,37.961052,41.461544,41.461544,3630725002
2023-11-02,41.385948,44.489124,38.975346,40.207569,40.207569,2583692673
2023-11-03,40.208927,40.225723,38.218376,39.519760,39.519760,1755955299
2023-11-04,39.520210,42.695240,39.168793,42.346596,42.346596,1454107898
2023-11-05,42.373367,42.803539,40.380127,41.238602,41.238602,884855278
2023-11-06,41.238564,42.155067,39.825077,42.128590,42.128590,1010459088
2023-11-07,42.137772,44.425850,40.319908,43.092545,43.092545,1780187159
2023-11-08,43.085918,43.805058,42.394230,43.189888,43.189888,1009177437
2023-11-09,43.181870,48.703068,42.608185,45.444828,45.444828,2830770419
2023-11-10,45.442371,57.349102,45.216846,56.643852,56.643852,3795204638
2023-11-11,56.640995,63.415447,54.044868,56.102661,56.102661,4182963132
2023-11-12,56.132030,61.714905,54.942104,56.154099,56.154099,2987356952
2023-11-13,56.180626,59.713657,51.907051,51.907051,51.907051,2942685126
2023-11-14,51.902218,57.730106,51.714462,56.838375,56.838375,3195616616
2023-11-15,56.839939,66.867668,56.308987,65.534401,65.534401,3793937162
2023-11-16,65.539444,67.992149,56.810131,57.871403,57.871403,3922608772
2023-11-17,57.921040,60.416290,54.551647,58.415936,58.415936,3185454735
2023-11-18,58.392673,59.283443,55.062313,58.512726,58.512726,1942321169
2023-11-19,58.524284,62.021152,56.882648,61.393559,61.393559,1998656461
2023-11-20,61.370461,61.370461,56.353432,56.533833,56.533833,1937313546
2023-11-21,56.540367,57.365688,51.555916,52.000473,52.000473,2440890238
2023-11-22,52.002129,58.791565,51.737495,57.588558,57.588558,1985653842
2023-11-23,57.578018,59.473923,56.287563,56.599369,56.599369,1379316733
2023-11-24,56.578892,58.686012,56.349091,56.866440,56.866440,1146346831
2023-11-25,56.866287,59.654144,56.325279,58.846489,58.846489,1183793273
2023-11-26,58.845421,58.957962,56.511456,57.642700,57.642700,871154750
2023-11-27,57.628868,58.021225,53.714470,55.064621,55.064621,1237763215
2023-11-28,55.062630,58.606823,54.085323,58.194370,58.194370,1412314015
2023-11-29,58.193050,61.653358,57.855091,59.250130,59.250130,1941361674
2023-11-30,59.253517,61.437874,58.946922,59.241623,59.241623,1263841021
2023-12-01,59.238178,61.758018,58.778210,59.803997,59.803997,1376669760
2023-12-02,59.803745,62.588058,59.788609,62.083256,62.083256,1271478272
